Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 115 DISCOVERY CORE II: INDIVIDUALS AND SOCIETY (5),BELLEVUE COLLEGE,SOC 901 TRANSFER-IN SOCIOLOGY COURSE,Social Sciences,1/1/2007,
UNIVERSITY OF WASHINGTON BOTHELL,"B CUSP 117 DISCOVERY CORE II: VISUAL, LITERARY, AND PERFORMING ARTS (5)",BELLEVUE COLLEGE,ART 901 TRANSFER-IN ART THEORY COURSE,Humanities,1/1/2007,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 118 DISCOVERY CORE III: THE PORTFOLIO AND EXPERIENTIAL LEARNING IN INDIVIDUALS AND SOCIETY (5),BELLEVUE COLLEGE,ELECT 901T TRANSFER-IN ELECTIVE,Transferable Electives,,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 119 DISCOVERY CORE III: THE PORTFOLIO AND EXPERIENTIAL LEARNING (5),BELLEVUE COLLEGE,ELECT 901T TRANSFER-IN ELECTIVE,Transferable Electives,,
UNIVERSITY OF WASHINGTON BOTHELL,"B CUSP 120 DISCOVERY CORE III: THE PORTFOLIO AND EXPERIENTIAL LEARNING IN VISUAL, LITERARY, AND PERFORMING ARTS (5)",BELLEVUE COLLEGE,HUMAN 901 TRANSFER-IN HUMANITIES COURSE,Humanities,1/1/2009,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 122 INTRODUCTION TO ELEMENTARY FUNCTIONS (5),BELLEVUE COLLEGE,MATH& 141 PRECALCULUS I (5),Quantitative or Sciences,9/1/2011,
UNIVERSITY OF WASHINGTON BOTHELL,"B CUSP 123 FUNCTIONS, MODELS, AND QUANTITATIVE REASONING (5)",BELLEVUE COLLEGE,MATH& 142 PRECALCULUS II (5),Quantitative or Sciences,,
UNIVERSITY OF WASHINGTON BOTHELL,"B CUSP 124 CALCULUS I: ORIGINS AND EARLY DEVELOPMENTS (5)
B CUSP 125 CALCULUS II: FOUNDATIONS AND THE EMERGENCE OF MODERN ANALYSIS (5)
B CUSP 126 CALCULUS WITH ANALYTIC GEOMETRY III (5)",BELLEVUE COLLEGE,"MATH& 151 CALCULUS I (5)
MATH& 152 CALCULUS II (5)
MATH& 153 CALCULUS III (5)",,1/1/2009,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 124 CALCULUS I: ORIGINS AND EARLY DEVELOPMENTS (5),BELLEVUE COLLEGE,MATH& 151 CALCULUS I (5),Quantitative or Sciences,1/1/2007,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 125 CALCULUS II: FOUNDATIONS AND THE EMERGENCE OF MODERN ANALYSIS (5),BELLEVUE COLLEGE,MATH& 152 CALCULUS II (5),Quantitative/Symbolic Reasoning,1/1/2007,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 126 CALCULUS WITH ANALYTIC GEOMETRY III (5),BELLEVUE COLLEGE,MATH& 153 CALCULUS III (5),Quantitative/Symbolic Reasoning,1/1/2009,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 134 INTERDISCIPLINARY WRITING (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 135 RESEARCH WRITING (5),BELLEVUE COLLEGE,ENGL 201 THE RESEARCH PAPER (5),Written Communication,1/1/2009,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 140 SCIENTIFIC JOURNEYS (5),BELLEVUE COLLEGE,NSCI 901L TRANSFER-IN NATURAL SCIENCES LAB COURSE,Sciences (Lab),1/1/2012,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 142 GENERAL CHEMISTRY (5),BELLEVUE COLLEGE,CHEM& 161 GENERAL CHEMISTRY I (6),Science (Lab),1/1/2009,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 170 INTRODUCTION TO PSYCHOLOGY (5),BELLEVUE COLLEGE,PSYC& 100 GENERAL PSYCHOLOGY (5),Social Sciences,,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 175 INTRODUCTION TO AMERICAN GOVERNMENT (5),BELLEVUE COLLEGE,POLS& 202 AMERICAN GOVERNMENT (5),Social Sciences,,
UNIVERSITY OF WASHINGTON BOTHELL,B CUSP 181 INTRODUCTION TO SOCIOLOGY (5),BELLEVUE COLLEGE,SOC& 101 INTRODUCTION TO SOCIOLOGY (5),Social Sciences,1/1/2015,
