Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
SEATTLE UNIVERSITY UNDERGRADUATE,ECON 271 PRINCIPLES OF ECONOMICS—MACRO (5),BELLEVUE COLLEGE,ECON& 202 MACROECONOMICS (5),Social Sciences,1/1/2002,
SEATTLE UNIVERSITY UNDERGRADUATE,ECON 272 PRINCIPLES OF ECONOMICS—MICRO (5),BELLEVUE COLLEGE,ECON& 201 MICROECONOMICS (5),Social Sciences,1/1/2002,
SEATTLE UNIVERSITY UNDERGRADUATE,ECON 2130 PRINCIPLES OF ECONOMICS - MACRO (5),BELLEVUE COLLEGE,ECON& 202 MACROECONOMICS (5),Social Sciences,1/1/2014,
SEATTLE UNIVERSITY UNDERGRADUATE,EN 110 FRESHMAN ENGLISH (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,7/1/1994,
SEATTLE UNIVERSITY UNDERGRADUATE,ENGL 110 COLLEGE WRITING: INQUIRY AND ARGUMENT (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,ENGL 120 MASTERPIECES OF LITERATURE (5),BELLEVUE COLLEGE,ENGL& 111 INTRODUCTION TO LITERATURE I (5),Humanities,1/1/1998,
SEATTLE UNIVERSITY UNDERGRADUATE,ENGL 211 WRITING THE RESEARCH PAPER (3),BELLEVUE COLLEGE,ENGL 201 THE RESEARCH PAPER (5),Written Communication,7/1/2006,
SEATTLE UNIVERSITY UNDERGRADUATE,"FREN 115 FRENCH LANGUAGE I (5)
FREN 125 FRENCH LANGUAGE II (5)
FREN 135 FRENCH LANGUAGE III (5)",BELLEVUE COLLEGE,"FRCH& 121 FRENCH I (5)
FRCH& 122 FRENCH II (5)
FRCH& 123 FRENCH III (5)",Humanities,1/1/2002,
SEATTLE UNIVERSITY UNDERGRADUATE,"FREN 215 FRENCH LANGUAGE IV (5)
FREN 225 FRENCH LANGUAGE V (5)
FREN 235 FRENCH LANGUAGE VI (5)",BELLEVUE COLLEGE,"FRCH& 221 FRENCH I (V1-5)
FRCH& 222 FRENCH (5)
FRCH& 223 FRENCH VI (5)",Humanities,1/1/2002,
SEATTLE UNIVERSITY UNDERGRADUATE,"GERM 115 GERMAN LANGUAGE I (5)
GERM 125 GERMAN LANGUAGE II (5)
GERM 135 GERMAN LANGUAGE III (5)",BELLEVUE COLLEGE,"GERM& 121 GERMAN I (5)
GERM& 122 GERMAN II (5)
GERM& 123 GERMAN III (5)",Humanities,1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,HUM 150 COMPOSITION: LANGUAGE AND THOUGHT (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,7/1/1994,
SEATTLE UNIVERSITY UNDERGRADUATE,HUM 151 COMPOSITION: LANGUAGE AND THE ARTS (5),BELLEVUE COLLEGE,ENGL 271 EXPOSITORY WRITING I (5),Written Communication,7/1/1994,
SEATTLE UNIVERSITY UNDERGRADUATE,HUMT 150 COMPOSITION: LANGUAGE AND THOUGHT (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,7/1/1997,
SEATTLE UNIVERSITY UNDERGRADUATE,HUMT 151 COMPOSITION: LANGUAGE AND THE ARTS (5),BELLEVUE COLLEGE,ENGL 271 EXPOSITORY WRITING I (5),Written Communication,7/1/1997,
SEATTLE UNIVERSITY UNDERGRADUATE,ISSC 120 INTRODUCTION TO GEOLOGY (5),BELLEVUE COLLEGE,GEOL& 101 INTRODUCTION TO PHYSICAL GEOLOGY (6),Sciences (lab),1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,"JPAN 115 JAPANESE LANGUAGE I (5)
JPAN 125 JAPANESE LANGUAGE II (5)
JPAN 135 JAPANESE LANGUAGE III (5)",BELLEVUE COLLEGE,"JAPN& 121 JAPANESE I (5)
JAPN& 122 JAPANESE II (5)
JAPN& 123 JAPANESE III (5)",Humanities,9/21/2011,
SEATTLE UNIVERSITY UNDERGRADUATE,MATH 107 MATHEMATICAL REASONING AND ITS APPLICATIONS (5),BELLEVUE COLLEGE,MATH 901C TRANSFER-IN MATHEMATICS COURSE,Sciences,1/1/2006,
SEATTLE UNIVERSITY UNDERGRADUATE,MATH 110 FUNCTIONS AND ALGEBRAIC METHODS (5),BELLEVUE COLLEGE,MATH 099 INTERMEDIATE ALGEBRA (5),Intermediate Algebra,1/1/1998,
SEATTLE UNIVERSITY UNDERGRADUATE,MATH 120 PRECALCULUS: ALGEBRA (5),BELLEVUE COLLEGE,"MATH& 141 PRECALCULUS I (5)
MATH& 142 PRECALCULUS II (5)",Quantitative or Sciences,1/1/2008,
SEATTLE UNIVERSITY UNDERGRADUATE,MATH 120 PRECALCULUS: ALGEBRA (5),BELLEVUE COLLEGE,MATH& 141 PRECALCULUS I (5),Quantitative or Social Sciences,1/1/1999,
SEATTLE UNIVERSITY UNDERGRADUATE,MATH 121 PRECALCULUS: TRIGONOMETRY (2),BELLEVUE COLLEGE,MATH& 142 PRECALCULUS II (5),Quantitative or Sciences,1/1/2006,
SEATTLE UNIVERSITY UNDERGRADUATE,MATH 130 ELEMENTS OF CALCULUS FOR BUSINESS (5),BELLEVUE COLLEGE,MATH& 148 BUSINESS CALCULUS (5),Quantitative or Sciences,1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,MATH 134 CALCULUS I (5),BELLEVUE COLLEGE,MATH& 151 CALCULUS I (5),Quantitative or Sciences,1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,MATH 135 CALCULUS II (5),BELLEVUE COLLEGE,MATH& 152 CALCULUS II (5),Quantitative or Sciences,1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,MATH 136 CALCULUS III (5),BELLEVUE COLLEGE,MATH& 153 CALCULUS III (5),Quantitative or Sciences,1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,MATH 232 MULTIVARIABLE CALCULUS (3),BELLEVUE COLLEGE,MATH& 254 CALCULUS IV (5),Quantitative or Sciences,1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,MATH 1321 PRECALCULUS: ALGEBRA (5),BELLEVUE COLLEGE,MATH& 141 PRECALCULUS I (5),Quantitative or Sciences,1/1/2014,
SEATTLE UNIVERSITY UNDERGRADUATE,MATH 1322 PRECALCULUS: TRIGONOMETRY (2),BELLEVUE COLLEGE,MATH& 142 PRECALCULUS II (5),Quantitative or Sciences,1/1/2014,
SEATTLE UNIVERSITY UNDERGRADUATE,MATH 1334 CALCULUS I (5),BELLEVUE COLLEGE,MATH& 151 CALCULUS I (5),Quantitative or Sciences,1/1/2014,
SEATTLE UNIVERSITY UNDERGRADUATE,MEGR 105 ENGINEERING GRAPHICS AND DESIGN (3),BELLEVUE COLLEGE,ENGR& 114 ENGINEERING GRAPHICS (4),,,
SEATTLE UNIVERSITY UNDERGRADUATE,MGMT 280 COMMUNICATIONS FOR BUSINESS (5),BELLEVUE COLLEGE,BTS 109 BUSINESS COMMUNICATIONS (5),Restricted Electives,1/1/1996,
SEATTLE UNIVERSITY UNDERGRADUATE,MT 101 INTERMEDIATE ALGEBRA (5),BELLEVUE COLLEGE,MATH 099 INTERMEDIATE ALGEBRA (5),Intermediate Algebra,1/1/1994,
SEATTLE UNIVERSITY UNDERGRADUATE,MU 111 VOICE LESSONS (1 to 2),BELLEVUE COLLEGE,MUSC 901P TRANSFER-IN MUSIC PERFORMANCE COURSE,Humanities,1/1/1994,
SEATTLE UNIVERSITY UNDERGRADUATE,MUSC 101 EXPERIENCING MUSIC (5),BELLEVUE COLLEGE,MUSC& 105 MUSIC APPRECIATION (5),Humanities,1/1/2011,
SEATTLE UNIVERSITY UNDERGRADUATE,PHIL 110 INTRODUCTION TO PHILOSOPHY AND CRITICAL THINKING (5),BELLEVUE COLLEGE,PHIL& 101 INTRODUCTION TO PHILOSOPHY (5),Humanities,1/1/1999,
SEATTLE UNIVERSITY UNDERGRADUATE,PHIL 220 PHILOSOPHY OF THE HUMAN PERSON (5),BELLEVUE COLLEGE,PHIL 901 TRANSFER-IN PHILOSOPHY COURSE,,1/1/1999,
SEATTLE UNIVERSITY UNDERGRADUATE,PHYS 101 ASTRONOMY: THE SOLAR SYSTEM (5),BELLEVUE COLLEGE,ASTR& 100 SURVEY OF ASTRONOMY (5),Sciences (No lab),1/1/1999,
SEATTLE UNIVERSITY UNDERGRADUATE,"PHYS 121 MECHANICS (5)
PHYS 122 ELECTRICITY AND MAGNETISM (5)
PHYS 123 WAVES AND OPTICS (5)",BELLEVUE COLLEGE,"PHYS 121 GENERAL ENGINEERING PHYSICS I (6)
PHYS 122 GENERAL ENGINEERING PHYSICS II (6)
PHYS 123 GENERAL ENGINEERING PHYSICS III (6)",Science (Lab),,
SEATTLE UNIVERSITY UNDERGRADUATE,PLSC 253 INTRODUCTION TO POLITICAL THEORY (5),BELLEVUE COLLEGE,POLS 201 INTRODUCTION TO POLITICAL PHILOSOPHY (5),Social Sciences,1/1/1998,
SEATTLE UNIVERSITY UNDERGRADUATE,PSY 120 INTRODUCTORY PSYCHOLOGY (5),BELLEVUE COLLEGE,PSYC& 100 GENERAL PSYCHOLOGY (5),Social Sciences,1/1/1994,
SEATTLE UNIVERSITY UNDERGRADUATE,PSYC 120 INTRODUCTORY PSYCHOLOGY (5),BELLEVUE COLLEGE,PSYC& 100 GENERAL PSYCHOLOGY (5),Social Sciences,1/1/1999,
SEATTLE UNIVERSITY UNDERGRADUATE,PSYC 322 GROWTH AND DEVELOPMENT (5),BELLEVUE COLLEGE,PSYC& 200 LIFESPAN PSYCHOLOGY (5),Social Sciences,1/1/2007,
SEATTLE UNIVERSITY UNDERGRADUATE,SOCL 120 SOCIOLOGICAL PERSPECTIVES,BELLEVUE COLLEGE,SOC& 101 INTRODUCTION TO SOCIOLOGY (5),Social Sciences,1/1/1997,
SEATTLE UNIVERSITY UNDERGRADUATE,SOCL 210 SOCIAL PROBLEMS (5),BELLEVUE COLLEGE,SOC& 201 SOCIAL PROBLEMS (5),Social Sciences,1/1/2010,
SEATTLE UNIVERSITY UNDERGRADUATE,SOCL 222 SOCIAL PSYCHOLOGY (5),BELLEVUE COLLEGE,SOC 240 SOCIAL PSYCHOLOGY (5),Social Sciences,1/1/1998,
SEATTLE UNIVERSITY UNDERGRADUATE,SPEX 1320 HEALTH AND WELLNESS (5),BELLEVUE COLLEGE,HLTH 250 WELLNESS (5),,,
SEATTLE UNIVERSITY UNDERGRADUATE,THTR 250 ACTING I (5),BELLEVUE COLLEGE,DRMA 151 BASIC ACTING FUNDAMENTALS (5),Humanities (performance/studio),1/4/2012,
SEATTLE UNIVERSITY UNDERGRADUATE,UCOR 1100 ACADEMIC WRITING SEMINAR (5),BELLEVUE COLLEGE,ENGL& 101 ENGLISH COMPOSITION I (5),Written Communication,,
