Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,"B STR 301 GENERAL ANATOMY (4)
BIOL 118 SURVEY OF PHYSIOLOGY (5)
BIOL 119 ELEMENTARY PHYSIOLOGY LABORATORY (1)",BELLEVUE COLLEGE,"BIOL& 241 HUMAN ANATOMY AND PHYSIOLOGY I (6)
BIOL& 242 HUMAN ANATOMY AND PHYSIOLOGY II (6)",,,
UNIVERSITY OF WASHINGTON,BIOL 180 INTRODUCTORY BIOLOGY (5),BELLEVUE COLLEGE,BIOL& 212 BIOLOGY MAJORS ANIMAL OR CELLULAR OR PLANT (6),"Natural Sciences
Laboratory Science",2002/7/1,
UNIVERSITY OF WASHINGTON,BIOL 200 INTRODUCTORY BIOLOGY (5),BELLEVUE COLLEGE,BIOL& 211 BIOLOGY MAJORS CELLULAR OR ANIMAL OR PLANT (6),"Natural Sciences
Laboratory Science",2002/7/1,
UNIVERSITY OF WASHINGTON,BIOL 220 INTRODUCTORY BIOLOGY (5),BELLEVUE COLLEGE,BIOL& 213 BIOLOGY MAJORS PLANT OR CELLULAR OR ANIMAL (6),"Natural Sciences
Laboratory Science",2002/7/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,BIOL 250 MARINE BIOLOGY (3/5),BELLEVUE COLLEGE,BIOL 150 MARINE BIOLOGY (6),,,
UNIVERSITY OF WASHINGTON,C LIT 211 LITERATURE AND CULTURE (5),BELLEVUE COLLEGE,HUMAN 901 TRANSFER-IN HUMANITIES COURSE,Humanities,2008/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,C LIT 240 WRITING IN COMPARATIVE LITERATURE (5),BELLEVUE COLLEGE,ENGL 901W TRANSFER-IN ENGLISH COURSE FOR WRITTEN COMMUNICATION,Written Communication,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CEE 220 INTRODUCTION TO MECHANICS OF MATERIALS (4),BELLEVUE COLLEGE,ENGR& 225 MECHANICS OF MATERIALS (4),,,
UNIVERSITY OF WASHINGTON,CHEM 120 PRINCIPLES OF CHEMISTRY I (5),BELLEVUE COLLEGE,CHEM& 121 INTRODUCTION TO CHEMISTRY (6),"Natural Sciences
Laboratory Science",1994/7/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,CHEM 142 GENERAL CHEMISTRY (5),BELLEVUE COLLEGE,CHEM& 161 GENERAL CHEMISTRY I (6),,2008/1/1,
UNIVERSITY OF WASHINGTON,CHEM 144 ADVANCED GENERAL CHEMISTRY (5),BELLEVUE COLLEGE,CHEM& 161 GENERAL CHEMISTRY I (6),,,
