Transfer Institution,Transfer Course,Receive Institution,Equivalent Course,Comments,Begin Date,End Date
UNIVERSITY OF WASHINGTON,HIST 113 THE MODERN WORLD (5),BELLEVUE COLLEGE,HIST 103 HISTORY OF CIVILIZATION: CONTEMPORARY WORLD (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,HSTAA 101 SURVEY OF THE HISTORY OF THE UNITED STATES (5),BELLEVUE COLLEGE,HIST& 146 US HISTORY I (5),,,
UNIVERSITY OF WASHINGTON,HSTAA 105 THE PEOPLES OF THE UNITED STATES (5),BELLEVUE COLLEGE,CES 100 RACE AND ETHNICITY IN THE UNITED STATES (5),Humanities or Social Sciences,2008/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,HSTAA 110 HISTORY OF AMERICAN CITIZENSHIP (5),BELLEVUE COLLEGE,HIST 246 HISTORY OF IMMIGRATION TO THE US (5),,,
UNIVERSITY OF WASHINGTON,HSTAA 212 THE MILITARY HISTORY OF THE UNITED STATES FROM COLONIAL TIMES TO THE PRESENT (5),BELLEVUE COLLEGE,HIST 250 U.S. MILITARY HISTORY (5),Humanities or Social Sciences,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,HSTAA 402 WITCHCRAFT IN COLONIAL NEW ENGLAND (5),BELLEVUE COLLEGE,ENGL 915 ENGLISH COMPOSITION 200 LEVEL (5),Syllabus confirms: Writing Credit: Successful completion of this course will satisfy the (W) Writing Credit,2026/5/18,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,HSTAA 402 WITCHCRAFT IN COLONIAL NEW ENGLAND (5),BELLEVUE COLLEGE,HIST 925 HUMANITIES AND SOCIAL SCIENCE (5),,2026/5/18,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,"HSTAFM 152 INTRODUCTION TO AFRICAN HISTORY, C. 1880 - PRESENT (5)",BELLEVUE COLLEGE,HIST 280 HISTORY OF AFRICA (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,HSTAM 111 THE ANCIENT WORLD (5),BELLEVUE COLLEGE,HIST 101 HISTORY OF CIVILIZATION: CULTURAL TRADITIONS (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,HSTAM 112 THE MEDIEVAL WORLD (5),BELLEVUE COLLEGE,HIST 102 HISTORY OF CIVILIZATION: MIDDLE AGES (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,HSTEU 113 EUROPE AND THE MODERN WORLD (5),BELLEVUE COLLEGE,HIST 103 HISTORY OF CIVILIZATION: CONTEMPORARY WORLD (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,"HSTLAC 185 RACE, GENDER, AND CLASS IN LATIN AMERICA AND THE CARIBBEAN (5)",BELLEVUE COLLEGE,HIST 185 HISTORY OF LATIN AMERICA (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,ITAL 101 ELEMENTARY (5),BELLEVUE COLLEGE,ITAL 121 ITALIAN I (5),Humanities,2007/1/1,
UNIVERSITY OF WASHINGTON,ITAL 102 ELEMENTARY (5),BELLEVUE COLLEGE,ITAL 122 ITALIAN II (5),Humanities,1996/1/1,
UNIVERSITY OF WASHINGTON,ITAL 103 ELEMENTARY (5),BELLEVUE COLLEGE,ITAL 123 ITALIAN III (5),Humanities,1994/1/1,
UNIVERSITY OF WASHINGTON,ITAL 201 INTERMEDIATE (5),BELLEVUE COLLEGE,ITAL 901 TRANSFER-IN ITALIAN COURSE,Humanities,1996/1/1,
UNIVERSITY OF WASHINGTON,JAPAN 111 FIRST-YEAR JAPANESE (5),BELLEVUE COLLEGE,JAPN& 121 JAPANESE I (5),,,
UNIVERSITY OF WASHINGTON,JAPAN 112 FIRST-YEAR JAPANESE (5),BELLEVUE COLLEGE,JAPN& 122 JAPANESE II (5),,,
UNIVERSITY OF WASHINGTON,JAPAN 113 FIRST-YEAR JAPANESE (5),BELLEVUE COLLEGE,JAPN& 123 JAPANESE III (5),,,
UNIVERSITY OF WASHINGTON,JAPAN 211 SECOND-YEAR JAPANESE (5),BELLEVUE COLLEGE,JAPN& 221 JAPANESE IV (5),,,
UNIVERSITY OF WASHINGTON,JAPAN 212 SECOND-YEAR JAPANESE (5),BELLEVUE COLLEGE,JAPN& 222 JAPANESE V (5),,,
UNIVERSITY OF WASHINGTON,JAPAN 213 SECOND-YEAR JAPANESE (5),BELLEVUE COLLEGE,JAPN& 223 JAPANESE VI (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,LING 203 INTRODUCTION TO ANTHROPOLOGICAL LINGUISTICS (5),BELLEVUE COLLEGE,"ANTH 208 LANGUAGE, CULTURE AND SOCIETY (5)",,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,M E 123 INTRODUCTION TO VISUALIZATION AND COMPUTER-AIDED DESIGN (4),BELLEVUE COLLEGE,ENGR& 114 ENGINEERING GRAPHICS (4),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,M E 230 KINEMATICS AND DYNAMICS (4),BELLEVUE COLLEGE,ENGR& 215 DYNAMICS (4),,,
UNIVERSITY OF WASHINGTON UNDERGRADUATE STUDY,MATH 098 INTERMEDIATE ALGEBRA (0),BELLEVUE COLLEGE,MATH 099 INTERMEDIATE ALGEBRA (5),Intermediate Algebra,2000/1/1,
UNIVERSITY OF WASHINGTON,MATH 100 ALGEBRA (5),BELLEVUE COLLEGE,NO CREDIT NO CREDIT,Not Applicable - NO CREDIT,1994/1/1,
UNIVERSITY OF WASHINGTON,MATH 102 ALGEBRA (5),BELLEVUE COLLEGE,NO CREDIT NO CREDIT,Not Applicable - NO CREDIT,1994/1/1,
UNIVERSITY OF WASHINGTON,MATH 103 INTRODUCTION TO ELEMENTARY FUNCTIONS (5),BELLEVUE COLLEGE,NO CREDIT NO CREDIT,,1994/1/1,
UNIVERSITY OF WASHINGTON UNDERGRADUATE STUDY,MATH 111 ALGEBRA WITH APPLICATIONS (5),BELLEVUE COLLEGE,MATH 138 COLLEGE ALGEBRA FOR BUSINESS & SOCIAL SCIENCE (5),"Quantitative/Symbolic Reasoning
Natural Sciences",2000/7/1,
UNIVERSITY OF WASHINGTON,MATH 112 APPLICATION OF CALCULUS TO BUSINESS AND ECONOMICS (5),BELLEVUE COLLEGE,MATH& 148 BUSINESS CALCULUS (5),Quantitative or Sciences,2008/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,MATH 120 PRECALCULUS (5),BELLEVUE COLLEGE,MATH& 142 PRECALCULUS II (5),Quantitative or Sciences,2007/1/1,
UNIVERSITY OF WASHINGTON,MATH 124 CALCULUS WITH ANALYTIC GEOMETRY I (5),BELLEVUE COLLEGE,MATH& 151 CALCULUS I (5),Quantitative or Sciences,,
UNIVERSITY OF WASHINGTON,MATH 125 CALCULUS WITH ANALYTIC GEOMETRY II (5),BELLEVUE COLLEGE,MATH& 152 CALCULUS II (5),Quantitative or Sciences,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,MATH 126 CALCULUS WITH ANALYTIC GEOMETRY III (5),BELLEVUE COLLEGE,"MATH& 153 CALCULUS III (5)
MATH& 254 CALCULUS IV (5)",Quantitative or Sciences,,
UNIVERSITY OF WASHINGTON,MATH 307 INTRODUCTION TO DIFFERENTIAL EQUATIONS (3),BELLEVUE COLLEGE,MATH 238 DIFFERENTIAL EQUATIONS (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,MATH 308 MATRIX ALGEBRA WITH APPLICATIONS (3),BELLEVUE COLLEGE,MATH 208 INTRODUCTION TO LINEAR ALGEBRA (5),Quantitative or Sciences,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,MGMT 200 INTRODUCTION TO LAW (5),BELLEVUE COLLEGE,BUS& 201 BUSINESS LAW (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,"MICROM 301 GENERAL MICROBIOLOGY (3)
MICROM 302 GENERAL MICROBIOLOGY LABORATORY (2)",BELLEVUE COLLEGE,BIOL& 260 MICROBIOLOGY (6),Sciences (Lab),2007/1/1,
UNIVERSITY OF WASHINGTON,MUSIC 120 SURVEY OF MUSIC (5),BELLEVUE COLLEGE,MUSC& 105 MUSIC APPRECIATION (5),Humantiies,2008/1/1,
UNIVERSITY OF WASHINGTON UNDERGRADUATE STUDY,MUSIC 162 AMERICAN POPULAR SONG (5),BELLEVUE COLLEGE,MUSC 901 TRANSFER-IN MUSIC THEORY COURSE,Humanities,2002/1/1,
UNIVERSITY OF WASHINGTON,PHIL 100 INTRODUCTION TO PHILOSOPHY (5),BELLEVUE COLLEGE,PHIL& 101 INTRODUCTION TO PHILOSOPHY (5),Humanities,1994/1/1,
UNIVERSITY OF WASHINGTON,PHIL 102 CONTEMPORARY MORAL PROBLEMS (5),BELLEVUE COLLEGE,PHIL 102 CONTEMPORARY MORAL PROBLEMS (5),Humanities or Social Sciences,2008/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,"PHIL 160 WHY DO WE BELIEVE IN QUARKS, EVOLUTION, AND OTHER CRAZY THINGS? PERSPECTIVES ON SCIENCE, REASON, AND REALITY (5)",BELLEVUE COLLEGE,PHIL 160 PHILOSOPHY OF SCIENCE (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,PHIL 206 PHILOSOPHY OF FEMINISM (5),BELLEVUE COLLEGE,PHIL 206 PHILOSOPHY OF FEMINISM (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,PHIL 243 ENVIRONMENTAL ETHICS (5),BELLEVUE COLLEGE,PHIL 122 ENVIRONMENTAL ETHICS (5),,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,PHIL 267 INTRODUCTION TO PHILOSOPHY OF RELIGION (5),BELLEVUE COLLEGE,PHIL 267 INTRODUCTION TO PHILOSOPHY OF RELIGION (5),,,
UNIVERSITY OF WASHINGTON,PHYS 110 LIBERAL ARTS PHYSICS (5),BELLEVUE COLLEGE,PHYS 901C TRANSFER-IN PHYSICS COURSE NON-LAB,Sciences (No Lab),2008/1/1,
UNIVERSITY OF WASHINGTON,"PHYS 114 GENERAL PHYSICS (4)
PHYS 117 GENERAL PHYSICS LABORATORY (1)",BELLEVUE COLLEGE,PHYS& 114 GENERAL PHYSICS I (6),Sciences (Lab),2008/1/1,
UNIVERSITY OF WASHINGTON,"PHYS 115 GENERAL PHYSICS (4)
PHYS 118 GENERAL PHYSICS LABORATORY (1)",BELLEVUE COLLEGE,PHYS& 115 GENERAL PHYSICS II (6),Sciences (Lab),2008/1/1,
UNIVERSITY OF WASHINGTON,"PHYS 116 GENERAL PHYSICS (4)
PHYS 119 GENERAL PHYSICS LABORATORY (1)",BELLEVUE COLLEGE,PHYS& 116 GENERAL PHYSICS III (6),Sciences (Lab),2008/1/1,
UNIVERSITY OF WASHINGTON,PHYS 121 MECHANICS (5),BELLEVUE COLLEGE,PHYS 121 GENERAL ENGINEERING PHYSICS I (6),Sciences (Lab),1994/1/1,
UNIVERSITY OF WASHINGTON,PHYS 122 ELECTROMAGNETISM AND OSCILLATORY MOTION (5),BELLEVUE COLLEGE,PHYS 122 GENERAL ENGINEERING PHYSICS II (6),Science (Lab),1994/1/1,
UNIVERSITY OF WASHINGTON,PHYS 123 WAVES (5),BELLEVUE COLLEGE,PHYS 123 GENERAL ENGINEERING PHYSICS III (6),Science (Lab),1994/1/1,
UNIVERSITY OF WASHINGTON,PHYS 225 MODERN PHYSICS (3),BELLEVUE COLLEGE,PHYS 225 MODERN PHYSICS (5),Natural Sciences,,
UNIVERSITY OF WASHINGTON,POL S 201 INTRODUCTION TO POLITICAL THEORY (5),BELLEVUE COLLEGE,POLS 201 INTRODUCTION TO POLITICAL PHILOSOPHY (5),Social Sciences,2008/1/1,
UNIVERSITY OF WASHINGTON,POL S 202 INTRODUCTION TO AMERICAN POLITICS (5),BELLEVUE COLLEGE,POLS 160 INTRODUCTION TO AMERICAN POLITICAL CULTURE (5),Social Sciences,1994/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,POL S 203 INTRODUCTION TO INTERNATIONAL RELATIONS (5),BELLEVUE COLLEGE,POLS& 203 INTERNATIONAL RELATIONS (5),Social Sciences,2007/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,POL S 204 INTRODUCTION TO COMPARATIVE POLITICS (5),BELLEVUE COLLEGE,POLS 204 INTRODUCTION TO COMPARATIVE POLITICS (5),Social Sciences,2007/1/1,
UNIVERSITY OF WASHINGTON,PSYCH 101 PSYCHOLOGY AS A SOCIAL SCIENCE (5),BELLEVUE COLLEGE,PSYC& 100 GENERAL PSYCHOLOGY (5),Social Sciences,,
UNIVERSITY OF WASHINGTON,PSYCH 200 COMPARATIVE ANIMAL BEHAVIOR (5),BELLEVUE COLLEGE,PSYC 901 TRANSFER-IN PSYCHOLOGY COURSE,Social Sciences,2008/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,PSYCH 202 BIOPSYCHOLOGY (5),BELLEVUE COLLEGE,PSYC 202 INTRODUCTION TO PHYSIOLOGICAL PSYCHOLOGY (5),Natural Sciences,2007/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,PSYCH 203 INTRODUCTION TO PERSONALITY AND INDIVIDUAL DIFFERENCES (4),BELLEVUE COLLEGE,PSYC 205 THEORIES OF PERSONALITY (5),,2025/5/13,
UNIVERSITY OF WASHINGTON,PSYCH 205 INTRODUCTION TO PERSONALITY AND INDIVIDUAL DIFFERENCES (4),BELLEVUE COLLEGE,PSYC 205 THEORIES OF PERSONALITY (5),Social Sciences,1994/1/1,
UNIVERSITY OF WASHINGTON,PSYCH 209 FUNDAMENTALS OF PSYCHOLOGICAL RESEARCH (5),BELLEVUE COLLEGE,PSYC 209 FUNDAMENTALS OF PSYCHOLOGICAL RESEARCH (5),Social Sciences,2008/1/1,
UNIVERSITY OF WASHINGTON UNDERGRADUATE STUDY,PSYCH 210 HUMAN SEXUALITY (5),BELLEVUE COLLEGE,PSYC 210 PSYCHOLOGY OF HUMAN SEXUALITY (5),Social Sciences,,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,QMETH 201 INTRODUCTION TO STATISTICAL METHODS (4),BELLEVUE COLLEGE,BA 240 STATISTICAL ANALYSIS (5),,,
UNIVERSITY OF WASHINGTON,SIS 201 THE MAKING OF THE 21ST CENTURY (5),BELLEVUE COLLEGE,INTST 201 INTRODUCTION TO INTERNATIONAL POLITICAL ECONOMY (5),Humanities,2008/1/1,
UNIVERSITY OF WASHINGTON,SOC 110 SURVEY OF SOCIOLOGY (5),BELLEVUE COLLEGE,SOC& 101 INTRODUCTION TO SOCIOLOGY (5),Social Sciences,,
UNIVERSITY OF WASHINGTON,SOC 212 EVOLUTION AND REVOLUTION: AN INTRODUCTION TO THE STUDY OF COMPARATIVE SOCIAL CHANGE (5),BELLEVUE COLLEGE,SOC 122 ACTIVISM & POPULAR CULTURE (5),Social Sciences,2008/1/1,
UNIVERSITY OF WASHINGTON,SOC 222 SOCIOLOGY OF SPORT (5),BELLEVUE COLLEGE,SOC 222 SPORTS IN SOCIETY (5),Social Sciences,2002/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,SOC 270 SOCIAL PROBLEMS (5),BELLEVUE COLLEGE,SOC& 201 SOCIAL PROBLEMS (5),,,
UNIVERSITY OF WASHINGTON UNDERGRADUATE STUDY,SOC 271 INTRODUCTION TO THE SOCIOLOGY OF DEVIANCE (5),BELLEVUE COLLEGE,SOC 270 DEVIANCE (5),Social Sciences,2002/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,SOC 275 MURDER (5),BELLEVUE COLLEGE,SOC 901 TRANSFER-IN SOCIOLOGY COURSE,Social Sciences,2007/1/1,
UNIVERSITY OF WASHINGTON,SOC 287 INTRODUCTION OF THE SOCIOLOGY OF SEXUALITY (5),BELLEVUE COLLEGE,SOC 256 SOCIOLOGY OF SEXUALITIES (5),Social Sciences,2008/1/1,
UNIVERSITY OF WASHINGTON UNDERGRADUATE STUDY,SP CMU 103 INTERPERSONAL COMMUNICATION (5),BELLEVUE COLLEGE,CMST& 210 INTERPERSONAL COMMUNICATION (5),Humanities,2000/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,SPAN 101 ELEMENTARY (5),BELLEVUE COLLEGE,SPAN& 121 SPANISH I (5),Humanities,2007/1/1,
UNIVERSITY OF WASHINGTON COURSE DESCRIPTIONS,SPAN 102 ELEMENTARY (5),BELLEVUE COLLEGE,SPAN& 122 SPANISH II (5),Humanities,2007/1/1,
UNIVERSITY OF WASHINGTON UNDERGRADUATE STUDY,SPAN 103 ELEMENTARY (5),BELLEVUE COLLEGE,SPAN& 123 SPANISH III (5),Humanities,,
UNIVERSITY OF WASHINGTON UNDERGRADUATE STUDY,SPAN 201 INTERMEDIATE (5),BELLEVUE COLLEGE,SPAN& 221 SPANISH IV (5),Humanities,,
UNIVERSITY OF WASHINGTON,SPAN 202 INTERMEDIATE (5),BELLEVUE COLLEGE,SPAN& 222 SPANISH V (5),,,
UNIVERSITY OF WASHINGTON,SPAN 203 INTERMEDIATE (5),BELLEVUE COLLEGE,SPAN& 223 SPANISH VI (5),,,
UNIVERSITY OF WASHINGTON,SPHSC 111 THE AMERICAN ENGLISH SOUND SYSTEM (2),BELLEVUE COLLEGE,ELECT 901R TRANSFER-IN RESTRICTED ELECTIVE,Restricted Electives,1994/1/1,
UNIVERSITY OF WASHINGTON,STAT 311 ELEMENTS OF STATISTICAL METHODS (5),BELLEVUE COLLEGE,BA 240 STATISTICAL ANALYSIS (5),Transferable Elective,2008/1/1,
UNIVERSITY OF WASHINGTON,WOMEN 200 INTRODUCTION TO WOMEN STUDIES (5),BELLEVUE COLLEGE,CES 109 INTRODUCTION TO WOMEN’S STUDIES (5),Social Sciences,,
